"bundestagId","name","party","profileUrl","hasConstituencyOffice","officeCount","postalAddress","postalCode","city","rawLines"
"1046870","Rothfuß, Dr. Rainer","AfD","https://www.bundestag.de/abgeordnete/biografien/R/rothfuss_rainer-1046870","true","1","Wahlkreisbüro Oberallgäu, Fabrikstraße 4, 87437 Kempten","87437","Kempten","Wahlkreisbüro Oberallgäu
Fabrikstraße 4
87437 Kempten"
"1046874","Rottwilm, Dr. Philipp","SPD","https://www.bundestag.de/abgeordnete/biografien/R/rottwilm_philipp-1046874","true","2","Wahlkreisbüro Borken, Bahnhofstraße 36 c, 34582 Borken/Hessen | Wahlkreisbüro Frankenberg, Obermarkt 5, 35066 Frankenberg/Eder","34582 | 35066","Borken/Hessen | Frankenberg/Eder","Wahlkreisbüro Borken
Bahnhofstraße 36 c
34582 Borken/Hessen
---
Wahlkreisbüro Frankenberg
Obermarkt 5
35066 Frankenberg/Eder"
"1046876","Rouenhoff, Stefan","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rouenhoff_stefan-1046876","true","1","Lindenallee 49, 47533 Kleve","47533","Kleve","Lindenallee 49
47533 Kleve"
"1046882","Rudolph, Dr. Thorsten","SPD","https://www.bundestag.de/abgeordnete/biografien/R/rudolph_thorsten-1046882","true","1","Mehlgasse 6, 56068 Koblenz","56068","Koblenz","Mehlgasse 6
56068 Koblenz"
"1046888","Rudzka, Angela","AfD","https://www.bundestag.de/abgeordnete/biografien/R/rudzka_angela-1046888","true","2","Wahlkreisbüro Holzminden,, Mittlere Straße 9, 37603 Holzminden | Wahlkreisbüro Schladen, Damm 25, 38315 Schladen","37603 | 38315","Holzminden | Schladen","Wahlkreisbüro Holzminden,
Mittlere Straße 9
37603 Holzminden
---
Wahlkreisbüro Schladen
Damm 25
38315 Schladen"
"1046892","Rüffer, Corinna","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/R/rueffer_corinna-1046892","true","1","Jüdemerstraße 16, 54290 Trier","54290","Trier","Jüdemerstraße 16
54290 Trier"
"1046916","Rützel, Bernd","SPD","https://www.bundestag.de/abgeordnete/biografien/R/ruetzel_bernd-1046916","false","0","","","",""
"1046900","Rump, Daniela","SPD","https://www.bundestag.de/abgeordnete/biografien/R/rump_daniela-1046900","false","0","","","",""
"1046904","Rupp, Ruben","AfD","https://www.bundestag.de/abgeordnete/biografien/R/rupp_ruben-1046904","true","1","Gögginger Straße 1, 73575 Leinzell","73575","Leinzell","Gögginger Straße 1
73575 Leinzell"
"1046908","Rupprecht, Albert","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rupprecht_albert-1046908","false","0","","","",""
"1046924","Saathoff, Johann","SPD","https://www.bundestag.de/abgeordnete/biografien/S/saathoff_johann-1046924","true","1","Burggraben 46, 26506 Norden","26506","Norden","Burggraben 46
26506 Norden"
"1046944","Salihović, Zada","Die Linke","https://www.bundestag.de/abgeordnete/biografien/S/salihovic_zada-1046944","false","0","","","",""
"1046964","Santos-Wintz, Catarina dos","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/S/santos_wintz_catarina-1046964","false","0","","","",""
"1046970","Sassenrath, Carl-Philipp","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/S/sassenrath_carl-1046970","true","1","Münsterplatz 13a, 41460 Neuss","41460","Neuss","Münsterplatz 13a
41460 Neuss"
"1046992","Schäfer, Jamila","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/S/schaefer_jamila-1046992","true","1","Implerstr 66, 81371 München","81371","München","Implerstr 66
81371 München"
"1046998","Schäfer, Dr. Sebastian","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/S/schaefer_sebastian-1046998","true","1","Im Heppächer 15, 73728 Esslingen am Neckar","73728","Esslingen am Neckar","Im Heppächer 15
73728 Esslingen am Neckar"
"1047012","Schätzl, Johannes","SPD","https://www.bundestag.de/abgeordnete/biografien/S/schaetzl_johannes-1047012","true","1","Marktstraße 15, 94051 Hauzenberg","94051","Hauzenberg","Marktstraße 15
94051 Hauzenberg"
"1047010","Schattner, Bernd","AfD","https://www.bundestag.de/abgeordnete/biografien/S/schattner_bernd-1047010","false","0","","","",""
"1047018","Schauws, Ulle","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/S/schauws_ulle-1047018","false","0","","","",""
"1047022","Scheer, Dr. Nina","SPD","https://www.bundestag.de/abgeordnete/biografien/S/scheer_nina-1047022","true","1","SPD Büro Geesthacht, Markt 17, 21502 Geesthacht, SPD Büro Ahrensburg, Manhagener Allee 14, 22926 Ahrensburg","21502","Geesthacht","SPD Büro Geesthacht
Markt 17
21502 Geesthacht
SPD Büro Ahrensburg
Manhagener Allee 14
22926 Ahrensburg"
